2,5,0.0,0.0,NaN
2,10,0.0,0.0,NaN
2,15,0.0,0.0,NaN
2,20,0.0,0.0,NaN
3,5,0.2,0.1111111111111111,0.14285714285714285
3,10,0.16666666666666666,0.1111111111111111,0.13333333333333333
3,15,0.16666666666666666,0.1111111111111111,0.13333333333333333
3,20,0.16666666666666666,0.1111111111111111,0.13333333333333333
4,5,0.2,0.1111111111111111,0.14285714285714285
4,10,0.2,0.2222222222222222,0.2105263157894737
4,15,0.2,0.2222222222222222,0.2105263157894737
4,20,0.2,0.2222222222222222,0.2105263157894737
5,5,0.2,0.1111111111111111,0.14285714285714285
5,10,0.2,0.2222222222222222,0.2105263157894737
5,15,0.2,0.2222222222222222,0.2105263157894737
5,20,0.2,0.2222222222222222,0.2105263157894737
10,5,0.2,0.1111111111111111,0.14285714285714285
10,10,0.2,0.2222222222222222,0.2105263157894737
10,15,0.13333333333333333,0.2222222222222222,0.16666666666666669
10,20,0.15,0.3333333333333333,0.20689655172413793
